растирать	несов.\nсм. растереть.
четверть	ж.\n1. төрттөн бири, чейрек;\nчетверть часа чейрек саат, он беш минута;\nчетверть пятого төрттөн он беш минута өттү;\nбез четверти два он беш минутасы кем эки (саат);\nчетверть листа полигр. табактын чейреги, чейрек табак, табактын төрттөн бир бөлүгү;\nчетверть века чейрек кылым;\n2. муз. четверть (музыкалык мезгилдин чени, өлчөмү; бул - толук бир нотанын төрттөн бир бөлүгүнө барабар);\n3. (мера) четверть, чейрек (кандайдыр бир өлчөгүч единицанын алгачкы төрттөн бир бөлүгүнө туура келген ар түрдүү өлчөөлөрдүн аты);\nчетверть вина бир чейрек чака вино;\n4. школ. чейрек;\nпервая четверть учебного года окуу жылынын биринчи чейреги.
кинозритель	м.\nкино көрүүчү.
вольничать	несов. разг.\nөз билгенин кылуу, эркинче болуу, оюндагысын иштөө.
смоловарня	ж.\nсм. смолокурня.
привлекать	несов.\nсм. привлечь.
оцинковывать	несов.\nсм. оцинковать.
экзальтированный	­ая, -ое\nэкзальтацияланган, экзальтация таасири менен болгон;\nэкзальтированный человек экзальтация таасиринде болгон (сезими козголгон) адам.
грузины	мн.\nгрузиндер.
частотный,	­ая, -ое\nтех.\nчастота-га т.
ухлопать	сов. прост.\n1. кого (убить) жайлап салуу, өлтүрүү;\n2. что (истратить ) сарыптоо, жок кылуу, жумшоо;\nухлопать уйму денег толгон акчаны жок кылып салуу.
окурок	м.\nпапиростун калдыгы;\nурна для окурков палиростун калдыктарын салуу үчүн коюлган урна.
лукавый,	­ая, -ое\n1. (хитрый, коварный) амалкөй, арамза, куу;\n2. (игривый) кылтыйган, кылтыйма;\nлукавая улыбка кылтыңдап жылмаюу;\n3. в знач. сущ. м. разг. уст. жин, шайтан, азгыруучу.
